objectid,title,date,creator,description,format,filename
1945-06-01_misc,Letter dated June 1 1945,1945-06-01,Unknown,Handwritten letter,Image,1945-06-01_misc.jpg
,,,,,,
1945-06-10_margaret_p1,Letter from Margaret page 1,1945-06-10,Margaret,Handwritten letter page 1,Image,1945-06-10_margaret_p1.jpg
1945-06-10_margaret_p2,Letter from Margaret page 2,1945-06-10,Margaret,Handwritten letter page 2,Image,1945-06-10_margaret_p2.jpg
1945-06-10_margaret_p3,Letter from Margaret page 3,1945-06-10,Margaret,Handwritten letter page 3,Image,1945-06-10_margaret_p3.jpg
1945-06-10_sam_p1,Letter from Sam page 1,1945-06-10,Sam,Handwritten letter page 1,Image,1945-06-10_sam_p1.jpg
1945-06-10_sam_p2,Letter from Sam page 2,1945-06-10,Sam,Handwritten letter page 2,Image,1945-06-10_sam_p2.jpg
,,,,,,
1945-06-15_margaret_p1,Letter from Margaret page 1,1945-06-15,Margaret,Handwritten letter page 1,Image,1945-06-15_margaret_p1.jpg
1945-06-15_margaret_p2,Letter from Margaret page 2,1945-06-15,Margaret,Handwritten letter page 2,Image,1945-06-15_margaret_p2.jpg
1945-06-15_margaret_p3,Letter from Margaret page 3,1945-06-15,Margaret,Handwritten letter page 3,Image,1945-06-15_margaret_p3.jpg
1945-06-15_sam_p1,Letter from Sam page 1,1945-06-15,Sam,Handwritten letter page 1,Image,1945-06-15_sam_p1.jpg
1945-06-15_sam_p2,Letter from Sam page 2,1945-06-15,Sam,Handwritten letter page 2,Image,1945-06-15_sam_p2.jpg
,,,,,,
1945-06-19_margaret_p1,Letter from Margaret page 1,1945-06-19,Margaret,Handwritten letter page 1,Image,1945-06-19_margaret_p1.jpg
1945-06-19_margaret_p2,Letter from Margaret page 2,1945-06-19,Margaret,Handwritten letter page 2,Image,1945-06-19_margaret_p2.jpg
1945-06-19_margaret_p3,Letter from Margaret page 3,1945-06-19,Margaret,Handwritten letter page 3,Image,1945-06-19_margaret_p3.jpg
,,,,,,
1945-07-02_sam_p1,Letter from Sam page 1,1945-07-02,Sam,Handwritten letter page 1,Image,1945-07-02_sam_p1.jpg
1945-07-02_sam_p2,Letter from Sam page 2,1945-07-02,Sam,Handwritten letter page 2,Image,1945-07-02_sam_p2.jpg
,,,,,,
1945-07-12_unknown_p1,Letter page 1,1945-07-12,Unknown,Handwritten letter page 1,Image,1945-07-12_unknown_p1.jpg
1945-07-12_unknown_p2,Letter page 2,1945-07-12,Unknown,Handwritten letter page 2,Image,1945-07-12_unknown_p2.jpg
1945-07-12_unknown_p3,Letter page 3,1945-07-12,Unknown,Handwritten letter page 3,Image,1945-07-12_unknown_p3.jpg
,,,,,,
1945-07-29_sam_p1,Letter from Sam page 1,1945-07-29,Sam,Handwritten letter page 1,Image,1945-07-29_sam_p1.jpg
1945-07-29_sam_p2,Letter from Sam page 2,1945-07-29,Sam,Handwritten letter page 2,Image,1945-07-29_sam_p2.jpg
,,,,,,
1945-07-30_unknown_p1,Letter page 1,1945-07-30,Unknown,Handwritten letter page 1,Image,1945-07-30_unknown_p1.jpg
1945-07-30_unknown_p2,Letter page 2,1945-07-30,Unknown,Handwritten letter page 2,Image,1945-07-30_unknown_p2.jpg
1945-07-30_unknown_p3,Letter page 3,1945-07-30,Unknown,Handwritten letter page 3,Image,1945-07-30_unknown_p3.jpg
1945-07-30_unknown_p4,Letter page 4,1945-07-30,Unknown,Handwritten letter page 4,Image,1945-07-30_unknown_p4.jpg
,,,,,,
1945-08-02_sam_p1,Letter from Sam page 1,1945-08-02,Sam,Handwritten letter page 1,Image,1945-08-02_sam_p1.jpg
,,,,,,
1945-08-03_unknown_p1,Letter page 1,1945-08-03,Unknown,Handwritten letter page 1,Image,1945-08-03_unknown_p1.jpg
1945-08-03_unknown_p2,Letter page 2,1945-08-03,Unknown,Handwritten letter page 2,Image,1945-08-03_unknown_p2.jpg
1945-08-03_unknown_p3,Letter page 3,1945-08-03,Unknown,Handwritten letter page 3,Image,1945-08-03_unknown_p3.jpg
